Title,UID,UIN,PIN,OO,Ch,TxCk,TxRv,x,f,cd,Int
Front Matter,FRT,A0,0,0,10,1,1,,,,0.1
Genesis,GEN,1,1,1,50,1,1,0.25,0.8,0.5,0.5
Exodus,EXO,2,2,2,40,1,1,0.25,0.8,0.5,0.5
Leviticus,LEV,3,3,3,27,1,1,0.25,0.8,0.5,0.5
Numbers,NUM,4,4,4,36,1,1,0.25,0.8,0.5,0.5
Deuteronomy,DEU,5,5,5,34,1,1,0.25,0.8,0.5,0.5
Joshua,JOS,6,6,6,24,1,1,0.25,0.8,0.5,0.5
Judges,JDG,7,7,7,21,1,1,0.25,0.8,0.5,0.5
Ruth,RUT,8,8,8,4,1,1,0.25,0.8,0.5,0.5
1 Samuel,1SA,9,9,9,31,1,1,0.25,0.8,0.5,0.5
2 Samuel,2SA,10,10,10,24,1,1,0.25,0.8,0.5,0.5
1 Kings,1KI,11,11,11,22,1,1,0.25,0.8,0.5,0.5
2 Kings,2KI,12,12,12,25,1,1,0.25,0.8,0.5,0.5
1 Chronicles,1CH,13,13,13,29,1,1,0.25,0.8,0.5,0.5
2 Chronicles,2CH,14,14,14,36,1,1,0.25,0.8,0.5,0.5
Ezra,EZR,15,15,15,10,1,1,0.25,0.8,0.5,0.5
Nehemiah,NEH,16,16,16,13,1,1,0.25,0.8,0.5,0.5
Tobit,TOB,68,0A,17,14,1,1,,0.8,0.5,0.5
Judith,JDT,69,0B,18,16,1,1,,0.8,0.5,0.5
Esther (Hebrew),EST,17,17,19,10,1,1,0.25,0.8,0.5,0.5
Job,JOB,18,18,20,42,1,1,0.25,0.8,0.5,0.5
Psalms,PSA,19,19,21,150,1,1,0.2,0.8,0.5,0.5
Proverbs,PRO,20,20,22,31,1,1,0.2,0.8,0.5,0.5
Ecclesiastes,ECC,21,21,23,12,1,1,0.2,0.8,0.5,0.5
Song of Songs,SNG,22,22,24,8,1,1,0.2,0.8,0.5,0.5
Wisdom,WIS,71,1E,25,19,1,1,,0.8,0.5,0.5
Sirach,SIR,72,1F,26,51,1,1,,0.8,0.5,0.5
Isaiah,ISA,23,23,27,66,1,1,0.2,0.8,0.5,0.5
Jeremiah,JER,24,24,28,52,1,1,0.2,0.8,0.5,0.5
Lamentations,LAM,25,25,29,5,1,1,0.2,0.8,0.5,0.5
Baruch,BAR,73,2C,30,6,1,1,,0.8,0.5,0.5
Ezekiel,EZK,26,26,31,48,1,1,0.2,0.8,0.5,0.5
Daniel (Hebrew),DAN,27,27,32,12,1,1,0.2,0.8,0.5,0.5
Hosea,HOS,28,28,33,14,1,1,0.2,0.8,0.5,0.5
Joel,JOL,29,29,34,3,1,1,0.2,0.8,0.5,0.5
Amos,AMO,30,30,35,9,1,1,0.2,0.8,0.5,0.5
Obadiah,OBA,31,31,36,1,1,1,0.2,0.8,0.5,0.5
Jonah,JON,32,32,37,4,1,1,0.2,0.8,0.5,0.5
Micah,MIC,33,33,38,7,1,1,0.2,0.8,0.5,0.5
Nahum,NAM,34,34,39,3,1,1,0.2,0.8,0.5,0.5
Habakkuk,HAB,35,35,40,3,1,1,0.2,0.8,0.5,0.5
Zephaniah,ZEP,36,36,41,3,1,1,0.2,0.8,0.5,0.5
Haggai,HAG,37,37,42,2,1,1,0.2,0.8,0.5,0.5
Zechariah,ZEC,38,38,43,14,1,1,0.2,0.8,0.5,0.5
Malachi,MAL,39,39,44,4,1,1,0.2,0.8,0.5,0.5
Maccabees 1,1MA,78,0C,45,,1,1,,0.8,0.5,0.5
Maccabees 2,2MA,79,0D,46,,1,1,,0.8,0.5,0.5
NT Intro,INT,A7,40,47,,0.1,,,,,0.2
Matthew,MAT,41,41,49,28,1,1,0.2,0.8,0.5,0.5
Mark,MRK,42,42,50,16,1,1,0.2,0.8,0.5,0.5
Luke,LUK,43,43,51,24,1,1,0.2,0.8,0.5,0.5
John,JHN,44,44,52,21,1,1,0.2,0.8,0.5,0.5
Acts,ACT,45,45,53,28,1,1,0.2,0.8,0.5,0.5
Romans,ROM,46,46,54,16,1,1,0.2,0.8,0.5,0.5
1 Corinthians,1CO,47,47,55,16,1,1,0.2,0.8,0.5,0.5
2 Corinthians,2CO,48,48,56,13,1,1,0.2,0.8,0.5,0.5
Galatians,GAL,49,49,57,6,1,1,0.2,0.8,0.5,0.5
Ephesians,EPH,50,50,58,6,1,1,0.2,0.8,0.5,0.5
Philippians,PHP,51,51,59,4,1,1,0.2,0.8,0.5,0.5
Colossians,COL,52,52,60,4,1,1,0.2,0.8,0.5,0.5
1 Thessalonians,1TH,53,53,61,5,1,1,0.2,0.8,0.5,0.5
2 Thessalonians,2TH,54,54,62,3,1,1,0.2,0.8,0.5,0.5
1 Timothy,1TI,55,55,63,6,1,1,0.2,0.8,0.5,0.5
2 Timothy,2TI,56,56,64,4,1,1,0.2,0.8,0.5,0.5
Titus,TIT,57,57,65,3,1,1,0.2,0.8,0.5,0.5
Philemon,PHM,58,58,66,1,1,1,0.2,0.8,0.5,0.5
Hebrews,HEB,59,59,67,13,1,1,0.2,0.8,0.5,0.5
James,JAS,60,60,68,5,1,1,0.2,0.8,0.5,0.5
1 Peter,1PE,61,61,69,5,1,1,0.2,0.8,0.5,0.5
2 Peter,2PE,62,62,70,3,1,1,0.2,0.8,0.5,0.5
1 John,1JN,63,63,71,5,1,1,0.2,0.8,0.5,0.5
2 John,2JN,64,64,72,1,1,1,0.2,0.8,0.5,0.5
3 John,3JN,65,65,73,1,1,1,0.2,0.8,0.5,0.5
Jude,JUD,66,66,74,1,1,1,0.2,0.8,0.5,0.5
Revelation,REV,67,67,75,22,1,1,0.2,0.8,0.5,0.5
Back Matter,BAK,A1,6A,76,,0.25,,,,,
Concordance,CNC,A8,6B,,,,,,,,
Glossary / Wordlist,GLO,A9,6C,,,,,,,,
Law Intro,INT,,,,,,,,,,0
History A Intro,INT,,,,,,,,,,0
Prophets Intro,INT,,,,,,,,,,0
Writings Intro,INT,,,,,,,,,,0
History B Intro,INT,,,,,,,,,,0
Names Index,NDX,B1,6E,,,,,,,,
Other Matter,OTH,A2,6F,,,,,,,,
Topical Index,TDX,B0,6D,,,,,,,,
Law Back Matter,,,,,,,,,,,
History A Back,,,,,,,,,,,
Prophets Back,,,,,,,,,,,
Writings Back,,,,,,,,,,,
History B Back,,,,,,,,,,,
NT Back Matter,,,,,,,,,,,
